,OBVOD,CKAND,VSTRANA,JMENO,PRIJMENI,TITULPRED,TITULZA,VEK,POVOLANI,BYDLISTEN,BYDLISTEK,PSTRANA,NSTRANA,PLATNOST,HLASY_K1,PROC_K1,URIZ_PR_K1,ZVOLEN_K1,LOS_K1,HLASY_K2,PROC_K2,URIZ_PR_K2,ZVOLEN_K2,LOS_K2,POHLAVI,NAZEV_VS
202,69,5,659,Slavomír,Bača,,,41,agronom,Palkovice,598551,721,721,0,4354,11.83,11.83505939275326,0,0,0,0.0,0.0,0,0,,"Koalice ""STAN"" a TOP 09"
203,69,6,799,Martin,Adamec,MUDr.,,55,lékař,Frýdek-Místek,598003,799,799,0,3356,9.12,9.12229198945336,0,0,0,0.0,0.0,0,0,,Naše Město F-M
204,69,7,53,Eva,Pastušková,,,61,Prezidentka občanského sdružení Kiwanis,Frýdek-Místek,598003,53,53,0,1948,5.29,5.29506102367555,0,0,0,0.0,0.0,0,0,,Občanská demokratická strana
205,72,1,755,Radim,Žebrák,Mgr.,Ph.D.,42,"vědecký pracovník, biolog",Ostrava,4,755,755,0,4605,15.99,15.99680411296765,0,0,0,0.0,0.0,0,0,,Ostravak
206,72,2,1,Lukáš,Curylo,Mgr. et Mgr.,,40,ředitel Charity České republiky,Ostrava,4,1,1,0,3117,10.82,10.82780421718136,0,0,0,0.0,0.0,0,0,,Křesťan.a demokrat.unie-Českosl.strana lidová
207,72,3,768,Peter,Koliba,doc. MUDr.,CSc.,61,lékař,Budišovice,568261,99,768,0,5770,20.04,20.04376975718206,2,0,5913,52.93,52.93643688451208,1,0,,ANO 2011
208,72,4,1011,Petr,Chodura,Ing.,,55,ředitel a.s.,Ostrava,4,99,1011,0,1917,6.65,6.6592559141279,0,0,0,0.0,0.0,0,0,,Toryové
209,72,5,47,Petr,Gajdáček,,,65,technolog,Ostrava,4,47,47,0,2906,10.09,10.09483447389446,0,0,0,0.0,0.0,0,0,,Komunistická strana Čech a Moravy
210,72,6,1027,Věra,Racková,Bc.,,62,nezávislá konzultantka v oblasti sociální péče,Ostrava,4,1027,1027,0,779,2.7,2.7060826067322,0,0,0,0.0,0.0,0,0,,Ostravské fórum
211,72,7,659,Jiří,Joneš,Mgr.,,45,poradce pro finanční plánování,Ostrava,4,721,721,0,859,2.98,2.98398582693576,0,0,0,0.0,0.0,0,0,,TOP 09 a Starostové
212,72,8,159,Radoslav,Štědroň,RNDr.,,59,"geograf, ekolog",Ostrava,4,159,159,0,249,0.86,0.86497377288359,0,0,0,0.0,0.0,0,0,,Strana práce
213,72,9,53,Pavel,Bartoš,Ing.,,63,prezident Sdružení pro rozvoj Moravskosl. kraje,Ludgeřovice,507971,99,53,0,2351,8.16,8.16688088373224,0,0,0,0.0,0.0,0,0,,Občanská demokratická strana
214,72,10,724,Petr,Guziana,MUDr.,,62,lékař,Ostrava,4,99,724,0,530,1.84,1.84110883384861,0,0,0,0.0,0.0,0,0,,Strana Práv Občanů
215,72,11,7,Petr,Mihálik,Ing.,,54,systémový inženýr,Ostrava,4,7,7,0,5704,19.81,19.81449960051412,2,0,5257,47.06,47.06356311548791,0,0,,Česká strana sociálně demokratická
216,75,1,53,Werner,Bernatík,Ing.,Ph.D.,44,vysokoškolský pedagog,Český Těšín,598933,53,53,0,1260,5.29,5.29545263511809,0,0,0,0.0,0.0,0,0,,Občanská demokratická strana
217,75,2,80,Roman,Gawlas,Ing.,,62,geodet,Česká Ves,569356,99,80,2,0,0.0,0.0,0,0,0,0.0,0.0,0,0,,Nezávislí kandidáti
